"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","structural constituent of ribosome",141,-0.652282704514884,-2.28081233402166,1e-10,6.88e-08,5.50526315789474e-08,3672,"tags=63%, list=22%, signal=50%","MRPL36/RPL12/MRPL18/MRPL55/MRPS18A/RPS16/RPL17/MRPL2/MRPL19/RPL38/RPS11/MRPS16/RPS13/RPL10A/RPL34/RPS8/RPL36A/MRPL33/RPS23/RPS28/LOC100190109/RPS19/MRPS23/RPS9/RPS17/MRPL51/MRPL54/RPL27/RPS5/RPL21/RPL23A/RPS20/MRPS15/RPL22L1/RPL6/TNFRSF6B/RPL27A/RPL8/RPL29/RPLP1/MRPS18B/RPL32/RPL5/RPL36/RPL4/RPL13A/RPS27A/RPL26L1/RPL22/FAU/RPP30/RPL14/RPL19/RPL11/RPSA/RPL7/RPL37/RPS14/RPL18A/RPL35A/RPS3A/RPS21/RPL39/MRPS12/RPL31/RPL18/RPL9/RPL23/RPLP2/RPS7/LOC116806891/RPS15A/RPL24/RPL15/RPS25/UBA52/RPS4X/RPS15/RPL13/RPS29/MRPL24/RPL30/RPL37A/RPS3/RPL28/RPS27/RPS24/RPS26/RPS18"
"GO:0030527","structural constituent of chromatin",34,-0.827449135704708,-2.31135946067004,2.13840172111318e-09,7.35610192062935e-07,5.88623210601155e-07,1967,"tags=79%, list=12%, signal=70%","LOC100231116/LOC115493338/LOC100218691/LOC100221426/LOC115493503/LOC100224416/LOC100226365/LOC115493336/LOC100225322/LOC115493337/LOC100226305/LOC100227296/LOC100224417/LOC100229139/LOC100229197/LOC115493339/LOC121469108/LOC100231060/LOC100232209/LOC100223493/LOC100220543/LOC100221944/LOC100221480/LOC100229276/LOC100225375/LOC100227298/LOC100220586"
"GO:0140098","catalytic activity, acting on RNA",226,0.490166172125055,1.89618589706449,4.43738677156345e-08,1.01764069961188e-05,8.14299397027257e-06,2584,"tags=30%, list=15%, signal=25%","IARS1/TARS1/DDX6/LOC100228351/FTSJ3/RNGTT/EPRS1/DDX24/SUPV3L1/PCIF1/DHX29/RCL1/ELAC2/DDX54/EIF4A1/DIS3L2/DICER1/DDX47/DDX46/THUMPD3/NARS2/DDX1/AARS1/DDX10/QARS1/LRRC47/DHX36/EARS2/DDX41/POLRMT/POLR3H/DIS3L/AGO3/IARS2/WARS1/DDX18/TRMT1/RLIG1/DHX9/MTREX/LOC100228959/DUS3L/LARS1/DARS1/FTO/DHX38/TRMT2A/MARS2/TRMT1L/PARN/CPSF3/NSUN2/BUD23/DDX42/TOE1/LARS2/INTS11/NARS1/TSEN2/DROSHA/CNOT7/FARSB/DBR1/AEN/DDX52/TUT7/ALKBH5"
"GO:0005198","structural molecule activity",342,-0.456132310156464,-1.75684909326207,1.25600844799623e-07,2.16033453055352e-05,1.72866425868955e-05,3152,"tags=38%, list=19%, signal=32%","RPL38/RPS11/COL3A1/LOC100230285/LOC100232247/MRPS16/RPS13/RPL10A/TUBAL3/RPL34/RPS8/LOC100231110/RPL36A/MRPL33/EVPL/RPS23/LOC101233849/NUP35/RPS28/LOC100190109/RPS19/CRYBA2/MRPS23/RPS9/PLLP/RPS17/MRPL51/MRPL54/RPL27/ZP2/RPS5/RPL21/RPL23A/RPS20/LOC100231116/INA/LOC115493338/MRPS15/RPL22L1/RPL6/TNFRSF6B/LAMA2/LOC100218691/LOC100221426/LOC115498515/RPL27A/RPL8/RPL29/RPLP1/MRPS18B/RPL32/RPL5/RPL36/RPL4/RPL13A/RPS27A/RPL26L1/RPL22/MAL/FAU/RPP30/LOC115493503/RPL14/RPL19/RPL11/RPSA/RPL7/RPL37/RPS14/LOC100224416/RPL18A/RPL35A/RPS3A/RPS21/RPL39/MRPS12/LOC100226365/RPL31/RPL18/LOC115493336/RPL9/RPL23/TUBB1/LOC100220698/RPLP2/RPS7/LOC116806891/RPS15A/RPL24/RPL15/RPS25/UBA52/RPS4X/RPS15/TUBB6/LOC100225322/RPL13/LOC115493337/RPS29/LOC100226305/MRPL24/LOC116806599/LOC100227296/LOC100224417/RPL30/RPL37A/TUBB4B/RPS3/LOC100229139/RPL28/RPS27/LOC100229197/LOC115493339/LOC121469108/RPS24/LOC100231060/RPS26/LOC100232209/LOC100223493/RPS18/LOC100220543/LOC100221944/LOC100221480/LOC100229276/LOC100225375/LOC100227298/LOC100220586/CLDN5/TCAP/CSRP3"
"GO:0003724","RNA helicase activity",42,0.729464499270619,2.1404754410624,2.15841543547104e-07,2.47498303267346e-05,1.98044082938834e-05,1531,"tags=43%, list=9%, signal=39%","DDX6/LOC100228351/DDX24/SUPV3L1/DHX29/DDX54/EIF4A1/DDX47/DDX46/DDX1/DDX10/DHX36/DDX41/DDX18/DHX9/MTREX/LOC100228959/DHX38"
"GO:0008186","ATP-dependent activity, acting on RNA",42,0.729464499270619,2.1404754410624,2.15841543547104e-07,2.47498303267346e-05,1.98044082938834e-05,1531,"tags=43%, list=9%, signal=39%","DDX6/LOC100228351/DDX24/SUPV3L1/DHX29/DDX54/EIF4A1/DDX47/DDX46/DDX1/DDX10/DHX36/DDX41/DDX18/DHX9/MTREX/LOC100228959/DHX38"
"GO:0140640","catalytic activity, acting on a nucleic acid",400,0.396869442237814,1.6109906079524,5.93200783417493e-07,5.83031627130336e-05,4.6653234545466e-05,3001,"tags=28%, list=18%, signal=24%","LOC100225471/IARS1/TARS1/DDX6/LOC100228351/FTSJ3/RNGTT/EPRS1/DDX24/SUPV3L1/PCIF1/DHX29/TWNK/RCL1/ELAC2/CHD4/DDX54/POLE/EIF4A1/DIS3L2/DICER1/DDX47/DDX46/MLH3/SMC3/THUMPD3/NARS2/DDX1/AARS1/DDX10/AQR/TOP3B/QARS1/LRRC47/DHX36/EARS2/DDX41/POLRMT/POLR3H/DIS3L/POLG/AGO3/IARS2/WARS1/RECQL5/DDX18/TRMT1/TERF2/RLIG1/DHX9/MTREX/RUVBL1/CHD2/LOC100228959/DUS3L/LARS1/DARS1/FTO/TDP2/DHX38/TRMT2A/MARS2/TRMT1L/PARN/CPSF3/NSUN2/DHX30/DNMT1/MLH1/BUD23/MCM5/DDX42/CHD1/TOE1/LARS2/XRCC2/ERCC4/INTS11/NARS1/XRCC5/ERCC3/TSEN2/RAD51/RFC1/DROSHA/CNOT7/LIG4/ERCC6/FBH1/RFC3/GEN1/FARSB/DBR1/AEN/RECQL4/DDX52/TUT7/ALKBH5/ZRANB3/PAN2/POLK/SMARCA1/DDX20/DUS4L/DNMT3A/RAD54B/PMS2/XRCC6/EIF4A3/RFC5/PRORP/DMC1"
"GO:0051082","unfolded protein binding",58,-0.670215734111847,-2.07103291434269,1.51065246763143e-06,0.000129916112216303,0.000103956742180426,1783,"tags=31%, list=10%, signal=28%","LOC100225248/CCT4/NUDCD3/SHQ1/ERN1/DNAJB2/MKKS/DNAJB13/LOC100218864/HSPE1/HSPB1/DNAJB5/LOC100190429/DNAJB6/DNAJB4/HSP90AA1/DNAJA4/LOC105759762"
"GO:0008289","lipid binding",329,0.416519473296773,1.66335407464477,1.96766416576685e-06,0.000150416994005288,0.000120361211543399,3068,"tags=28%, list=18%, signal=23%","SYT2/SNX21/SCAP/STARD4/C2CD2L/HGS/GGA1/PCYT1A/HIP1R/SYT1/MTSS2/SYT13/PAQR8/STARD5/AMER2/TEX2/LOC100225021/SNX9/EPN2/ESR1/TRIL/LOC105759397/CLN8/SYT9/GGA3/SNX30/SNX14/STAM2/GAP43/PHLDA1/PITPNB/LOC105759083/BIN3/VPS36/AMER1/CERT1/GRAMD1C/SNX17/PLEKHN1/PACSIN1/PACSIN2/LOC100218935/OSBP2/MAPKAP1/ANXA7/SNX27/PARD3/OSBPL5/GRAMD1B/CLVS2/STARD7/TTPAL/AMPH/SNAP91/OSBPL11/TECPR1/ZRANB2/CLINT1/LOC100224757/LOC100230284/CPNE3/OSBPL8/STAR/LOC100228529/SNX33/ACADVL/PITPNA/DENND1A/SNX25/SNX18/SNX4/DENND1B/ACOX1/SNX12/ACOT11/ERLIN1/AIDA/PSD2/LOC100232395/ARAP3/NCF4/EPN3/ANXA6/ACBD6/ANXA10/MTTP/GOLPH3L/NR3C1/GOLPH3/SNX10/ADAP1/SYT4"
"GO:0140662","ATP-dependent protein folding chaperone",25,-0.792574924102473,-2.11276698671968,4.72111217817711e-06,0.000324812517858585,0.000259909649388066,1783,"tags=44%, list=10%, signal=39%","LOC100225248/CCT4/HSPA14/HSPA5/HSPD1/HSPA4/HSPA4L/HSPH1/HSPA8/HSP90AA1/HSPA2"
"GO:0046982","protein heterodimerization activity",72,-0.614935545461403,-1.96242799880592,6.2569277901081e-06,0.000391342392690397,0.000313145764040817,1967,"tags=36%, list=12%, signal=32%","LOC115493338/LOC100218691/LOC115493503/LOC100224416/DGKD/LOC100226365/LOC115493336/DDIT3/TENM2/BCL2L1/LOC115493337/LOC100226305/LOC100227296/LOC100224417/LOC100229197/LOC115493339/LOC121469108/NFYB/LOC100231060/LOC100232209/LOC100223493/LOC100220543/LOC100221944/LOC100221480/LOC100229276/LOC100225375"
"GO:0004659","prenyltransferase activity",13,0.876948834780667,1.99671358200772,8.1286712011021e-06,0.000430194291258326,0.000344234416046672,343,"tags=31%, list=2%, signal=30%","FDFT1/FDPS/PGGT1B/PDSS1"
"GO:0140657","ATP-dependent activity",433,0.37366286377447,1.51977987827868,8.01015638061794e-06,0.000430194291258326,0.000344234416046672,3556,"tags=34%, list=21%, signal=27%","LOC100225471/ATP1A3/KIF5B/MYO1C/SMC5/NSF/KIF1C/DDX6/LOC100228351/DDX24/SUPV3L1/DHX29/TWNK/KIF5C/ATP2B2/KIF5A/SMC1A/CHD4/SLC27A4/VCP/ATP6V1A/DDX54/EIF4A1/DDX47/SAE1/DDX46/VPS4A/NUBPL/MLH3/AFG2A/SMC3/PEX1/ABCF2/DNAH1/TOR3A/DDX1/DDX10/AQR/ABCB9/PSMC1/DHX36/DDX41/NAV1/MYH9/KIF21B/LOC100232083/UBA2/KIF3C/RECQL5/DDX18/ATP13A3/ACSL1/DHX9/MTREX/RUVBL1/LONP1/ATP9B/CHD2/LOC100228959/SMC2/MYO9B/PSMC3/ABCF1/ABCA7/AFG1L/DHX38/ATP7B/KIF2A/AFG2B/FIGN/ABCA3/LOC100221408/ABCD3/DHX30/ATAD1/MLH1/SRPRA/MCM5/DDX42/CHD1/PSMC2/ATP6V0D2/XRCC2/XRCC5/ERCC3/RAD51/KIF2C/KIF7/RFC1/YME1L1/UBA1/SNRNP200/UBA6/ERCC6/AK6/ATAD2B/SLC27A6/FBH1/RFC3/AFG3L2/RECQL4/NVL/ABCB1/DDX52/PSMC5/CLPB/ABCB5/LOC105760853/ZRANB3/ABCA2/SMARCA1/DDX20/RAD54B/PMS2/ABCC3/XRCC6/EIF4A3/RFC5/HSP90AB1/DMC1/ORC1/VPS4B/CLPX/SMC4/DHX16/DNAH10/ABCG2/DQX1/DDX11/ATP1A1/IGHMBP2/ABCA5/LOC116806640/UBA5/ABCF3/SMARCA2/ASCC3/DNA2/SPG7/ATP10B/ATP6V1E1/KIF26A/DDX28/SMARCA5/CHTF18/CCT8"
"GO:0044183","protein folding chaperone",33,-0.749919534596405,-2.07092682423612,1.04261175286077e-05,0.000512369204263009,0.000409989433643748,1783,"tags=39%, list=10%, signal=35%","LOC100225248/CCT4/HSPA14/HSPA5/HSPD1/LOC115496557/HSPE1/HSPA4/HSPA4L/HSPH1/HSPA8/HSP90AA1/HSPA2"
"GO:0005543","phospholipid binding",213,0.435766949551149,1.65953994222819,1.36458285745499e-05,0.000586803389192996,0.000469550447594763,3165,"tags=30%, list=19%, signal=24%","SYT2/SNX21/C2CD2L/HGS/GGA1/PCYT1A/HIP1R/SYT1/MTSS2/SYT13/AMER2/SNX9/EPN2/SYT9/GGA3/SNX30/SNX14/STAM2/GAP43/PHLDA1/PITPNB/LOC105759083/VPS36/AMER1/SNX17/PLEKHN1/PACSIN1/PACSIN2/MAPKAP1/ANXA7/SNX27/PARD3/CLVS2/TTPAL/AMPH/SNAP91/TECPR1/CLINT1/LOC100230284/CPNE3/LOC100228529/SNX33/PITPNA/DENND1A/SNX25/SNX18/SNX4/DENND1B/SNX12/AIDA/PSD2/ARAP3/NCF4/EPN3/ANXA6/ANXA10/GOLPH3L/GOLPH3/SNX10/ADAP1/SYT4/FLII/PICALM"
"GO:0016817","hydrolase activity, acting on acid anhydrides",476,0.364890924401658,1.50614977735729,1.38978407092713e-05,0.000586803389192996,0.000469550447594763,3923,"tags=36%, list=23%, signal=28%","ATP1A3/BMS1/SMC5/NSF/RAB23/RNGTT/MTIF2/SUPV3L1/RAB9B/ATP2B2/ARF1/SMC1A/EFTUD2/CHD4/VCP/RND2/ATP6V1A/SEPTIN8/NUDT15/KRAS/RAB29/GNAZ/DNM1L/ARF6/MFN2/DCP2/SEPTIN5/PRUNE2/GSPT1/MRAS/VPS4A/MLH3/AFG2A/SMC3/DNM2/PEX1/ABCF2/RAB11B/ARHGAP5/TOR3A/RAB18/REM1/TSR1/ABCB9/MFN1/PSMC1/NAV1/LOC100226244/EIF2S3/RAB5B/ATP13A3/SEPTIN11/DHX9/DRG2/RUVBL1/LONP1/ATP9B/CHD2/SMC2/MYO9B/PSMC3/ABCF1/LOC105758914/ABCA7/AFG1L/RHOC/ATP7B/NRAS/RAN/ARHGAP35/AFG2B/ENTPD7/LOC100190505/ARF3/FIGN/SAR1A/ABCA3/LOC100221408/ABCD3/ATAD1/MLH1/OPA1/RAB26/SRPRA/GNAI3/CHD1/PSMC2/ARF4/RAD51/RFC1/YME1L1/LOC100220690/GPN3/SNRNP200/AK6/ATAD2B/RFC3/AFG3L2/NVL/ABCB1/PSMC5/CLPB/SEPTIN6/ABCB5/DIRAS2/DNM1/ABCA2/SMARCA1/RAB21/PMS2/ABCC3/RFC5/HSP90AB1/DMC1/ORC1/VPS4B/RAP2C/ATL1/CLPX/GNA13/RHOH/DIRAS1/RAB25/SMC4/ARL15/GNA11/GFM1/RHOT1/RAB39B/DNAH10/ABCG2/DQX1/RAP1A/RALA/DDX11/ENPP1/ATP1A1/IGHMBP2/GFM2/ABCA5/ABCF3/ASCC3/RRAD/RAB12/ARL5A/SPG7/ATP10B/RHOV/SMARCA5/CHTF18/CCT8/CRACR2A/NUDT12/GNAO1/NUDT3/ATP11B/TOR4A/EIF5B/HBS1L/ATL2/MCM3/ARL9/RAD17/AGAP3/ATP2A3/MDN1/NTPCR/GET3/RAB7A"
